,creator_name,creator_id,backers_count,blurb,is_starred,category.id,category.name,category.parent_id,category.slug,country,currency,goal,spotlight,staff_pick,state,usd_pledged,usd_type,state_num,launched_at_hr,launched_at_day_in_week,launched_at_day_in_month,launched_at_mo,launched_at_yr,deadline_hr,deadline_day_in_week,deadline_day_in_month,deadline_mo,deadline_yr,created_at_hr,created_at_day_in_week,created_at_day_in_month,created_at_mo,created_at_yr,count,success,launched-created,deadline-launched,pledge_perc
0,Cookies + Beer,303930393,41,We are creating pop-up beer gardens using vintage Citroën trucks to introduce tasty cookies that are specifically paired to craft beer.,False,311,Food Trucks,10.0,food,US,USD,25000.0,False,False,failed,12370.0,domestic,0,13,4,14,8,2014,13,6,13,9,2014,1,1,23,6,2014,1,False,52,30,49.480000000000004
1,Casey Childs,1274743818,28,A fine art print collection from 25 original drawings enclosed in a custom leather bound case.,False,22,Illustration,1.0,art,US,USD,1950.0,True,True,successful,2412.27,international,1,5,1,24,10,2011,6,3,23,11,2011,1,2,4,10,2011,1,True,20,30,123.70615384615384
2,BeerDeCoded,489252126,124,A science quest for the world beer diversity: Buy us a beer ▸▸ we study its DNA ▸▸ we trace a tree of beers ▸▸ you discover new beers.,False,307,Drinks,10.0,food,FR,EUR,10000.0,True,True,successful,11796.65466147,international,1,8,3,27,5,2015,8,1,29,6,2015,12,7,17,5,2015,1,True,9,32,117.96654661470001
3,3rd Rail,1811640031,66,"Square format art book, featuring all the artwork from the 'Artist Beer Visions' exhibition, artist interviews, labels & descriptions.",False,22,Illustration,1.0,art,GB,GBP,1000.0,True,False,successful,3626.67769116,international,1,14,1,24,11,2014,1,7,14,12,2014,16,5,14,11,2014,1,True,9,19,362.667769116
4,Brandon,1011663720,0,Please support me and my dream by helping me own my own food truck to deliver my delicious and fascinating pizza ideas across the U.S.,False,311,Food Trucks,10.0,food,US,USD,2500.0,False,False,failed,0.0,domestic,0,4,3,3,2,2016,4,7,28,2,2016,20,1,1,2,2016,1,False,1,25,0.0
5,Lauren Kramer,1340043117,3,Pittsburgh PA needs more food trucks. Around the US this idea is taking off. I love cooking great food and would love to have one here,False,311,Food Trucks,10.0,food,US,USD,50000.0,False,False,failed,21.0,domestic,0,14,4,17,7,2014,17,1,18,8,2014,17,3,9,7,2014,1,False,7,32,0.042
6,WaterFire Providence,1999398501,77,"Athena has served as our primary work boat for the last 18 years, alas she has seen better days. We need your help build a new boat.",False,53,Public Art,1.0,art,US,USD,5000.0,True,False,successful,5206.0,international,1,19,4,9,4,2015,19,7,3,5,2015,17,1,23,3,2015,1,True,17,24,104.11999999999999
7,Rosa Novak,1475898455,23,"Art House will be a three-room fiber, ceramic, and light installation that uses a vacant space to create comfort and engage community.",False,53,Public Art,1.0,art,US,USD,600.0,True,False,successful,980.0,international,1,19,6,23,2,2013,6,1,1,4,2013,4,3,13,2,2013,1,True,10,36,163.33333333333334
8,Penelope Pendragon,1439944251,9,"I am ready to print my three books on how your WiSHes come true.  \r
Two aimed at kids, one for the more adult-ish crowd (15 and up).",False,328,Young Adult,18.0,publishing,US,USD,2200.0,True,False,successful,2267.0,international,1,23,7,29,7,2018,21,6,1,9,2018,7,6,21,7,2018,1,True,8,33,103.04545454545455
9,David Derrick (Samea's Dad),25349248,270,The first volume of Ghost of the Gulag the webcomic about a blind amur tiger and his raven written and illustrated by David Derrick,False,253,Webcomics,3.0,comics,US,USD,10000.0,True,False,successful,15051.0,international,1,12,2,10,4,2018,12,4,10,5,2018,2,5,6,4,2018,1,True,4,30,150.51000000000002
